date,weekday,pax,location
7-12-2024,zaterdag,51,nassauzaal
9-12-2024,maandag,100,extern
9-12-2025,dinsdag,19,hofdame
9-12-2025,dinsdag,10,heer ivo zaal
9-12-2025,dinsdag,36,extern
10-12-2024,dinsdag,55,binnentuin
10-12-2024,dinsdag,29,nassauzaal
10-12-2025,woensdag,30,nassauzaal
11-12-2024,woensdag,25,nassauzaal
11-12-2024,woensdag,20,hofdame
11-12-2024,woensdag,11,hofdame
11-12-2025,donderdag,6,heer ivo zaal
11-12-2025,donderdag,80,extern
12-12-2024,donderdag,55,binnentuin
12-12-2024,donderdag,22,binnentuin
12-12-2024,donderdag,27,hofdame
12-12-2024,donderdag,96,extern
12-12-2024,donderdag,25,nassauzaal
12-12-2025,vrijdag,12,hofdame
12-12-2025,vrijdag,50,extern
12-12-2025,vrijdag,8,hofdame
13-2-2025,donderdag,11,heer ivo zaal
13-2-2025,donderdag,8,prinsessezaal
13-2-2025,donderdag,4,prinsessezaal
13-2-2026,vrijdag,10,hofdame
13-3-2025,donderdag,11,heer ivo zaal
13-3-2025,donderdag,30,extern
13-3-2026,vrijdag,3,prinsessezaal
13-3-2026,vrijdag,80,nassauzaal
13-4-2025,zondag,144,hofdame
13-5-2025,dinsdag,25,nassauzaal
13-6-2024,donderdag,70,hofdame
13-6-2024,donderdag,11,hofdame
13-6-2025,vrijdag,28,binnentuin
13-7-2025,zondag,20,opkamer
13-7-2025,zondag,26,hofdame
13-9-2025,zaterdag,50,nassauzaal
13-09-2025,zaterdag,18,opkamer
13-9-2025,zaterdag,11,heer ivo zaal
13-9-2025,zaterdag,30,hofdame
13-10-2024,zondag,70,binnentuin
13-10-2024,zondag,25,hofdame
13-11-2024,woensdag,8,prinsessezaal
13-11-2024,woensdag,13,nassauzaal
13-11-2024,woensdag,7,prinsessezaal
13-11-2024,woensdag,3,heer ivo zaal
13-11-2024,woensdag,65,extern
13-11-2025,donderdag,14,nassauzaal
13-11-2025,donderdag,20,nassauzaal
13-11-2025,donderdag,10,heer ivo zaal
13-11-2025,donderdag,20,nassauzaal
13-11-2025,donderdag,20,opkamer
13-12-2024,vrijdag,16,nassauzaal
13-12-2024,vrijdag,5,prinsessezaal
13-12-2025,zaterdag,10,hofdame
14-1-2025,dinsdag,15,nassauzaal
14-1-2025,dinsdag,3,prinsessezaal
14-3-2025,vrijdag,11,heer ivo zaal
14-5-2025,woensdag,12,hofdame
14-5-2025,woensdag,10,hofdame
14-6-2024,vrijdag,61,binnentuin
14-6-2024,vrijdag,40,extern
14-7-2024,zondag,28,nassauzaal
14-9-2024,zaterdag,30,hofdame
14-9-2024,zaterdag,20,binnentuin
14-10-2024,maandag,6,prinsessezaal
14-10-2025,dinsdag,40,extern
14-10-2025,dinsdag,5,prinsessezaal
14-11-2024,donderdag,14,heer ivo zaal
14-11-2024,donderdag,16,nassauzaal
14-11-2024,donderdag,35,binnentuin
14-11-2024,donderdag,25,nassauzaal
14-11-2024,donderdag,12,hofdame
14-11-2024,donderdag,7,heer ivo zaal
14-11-2024,donderdag,3,prinsessezaal
14-11-2025,vrijdag,6,hofdame
15-1-2025,woensdag,5,heer ivo zaal
15-1-2025,woensdag,20,nassauzaal
15-1-2026,donderdag,10,heer ivo zaal
15-1-2026,donderdag,31,nassauzaal
15-3-2025,zaterdag,18,nassauzaal
15-3-2026,zondag,20,opkamer
15-04-2025,dinsdag,28,nassauzaal
15-5-2025,donderdag,25,nassauzaal
15-5-2025,donderdag,10,heer ivo zaal
15-5-2025,donderdag,9,prinsessezaal
15-5-2025,donderdag,20,nassauzaal
15-6-2024,zaterdag,80,prinsessezaal
15-9-2024,zondag,37,binnentuin
15-9-2024,zondag,12,heer ivo zaal
15-9-2025,maandag,48,binnentuin
15-9-2025,maandag,15,hofdame
15-9-2025,maandag,21,hofdame
15-9-2025,maandag,50,extern
15-10-2024,dinsdag,10,heer ivo zaal
15-10-2024,dinsdag,10,heer ivo zaal
15-10-2024,dinsdag,20,nassauzaal
15-10-2025,woensdag,3,prinsessezaal
15-11-2024,vrijdag,9,heer ivo zaal
15-11-2024,vrijdag,23,heer ivo zaal
15-11-2024,vrijdag,3,prinsessezaal
15-11-2025,zaterdag,27,nassauzaal
15-12-2024,zondag,13,hofdame
15-12-2025,maandag,22,nassauzaal
15-12-2025,maandag,100,extern
15-12-2025,maandag,7,prinsessezaal
16-1-2025,donderdag,70,extern
16-1-2026,vrijdag,16,nassauzaal
16-3-2026,maandag,40,nassauzaal
16-3-2026,maandag,260,extern
16-3-2026,maandag,15,heer ivo zaal
16-4-2025,woensdag,59,nassauzaal
16-4-2025,woensdag,30,extern
16-5-2025,vrijdag,6,heer ivo zaal
16-5-2025,vrijdag,60,extern
16-5-2025,vrijdag,30,extern
16-6-2025,maandag,18,nassauzaal
16-7-2024,dinsdag,6,prinsessezaal
16-7-2024,dinsdag,15,hofdame
16-7-2024,dinsdag,100,extern
16-7-2025,woensdag,2,prinsessezaal
16-8-2025,zaterdag,70,binnentuin
16-9-2024,maandag,75,binnentuin
16-9-2024,maandag,20,nassauzaal
16-9-2024,maandag,7,nassauzaal
16-9-2025,dinsdag,6,hofdame
16-10-2024,woensdag,40,extern
16-10-2025,donderdag,12,heer ivo zaal
16-10-2025,donderdag,12,hofdame
16-10-2025,donderdag,20,nassauzaal
16-10-2025,donderdag,66,nassauzaal
16-11-2024,zaterdag,350,extern
16-11-2024,zaterdag,10,hofdame
16-12-2025,dinsdag,14,nassauzaal
16-12-2025,dinsdag,10,heer ivo zaal
17-1-2025,vrijdag,30,nassauzaal
17-1-2025,vrijdag,45,extern
17-1-2025,vrijdag,13,nassauzaal
17-1-2025,vrijdag,14,hofdame
17-2-2026,dinsdag,13,heer ivo zaal
17-2-2026,dinsdag,8,heer ivo zaal
17-3-2025,maandag,20,extern
17-3-2026,dinsdag,30,nassauzaal
17-3-2026,dinsdag,13,extern
17-3-2026,dinsdag,10,heer ivo zaal
17-4-2025,donderdag,13,nassauzaal
17-4-2025,donderdag,60,extern
17-5-2025,zaterdag,20,binnentuin
17-6-2024,maandag,8,prinsessezaal
17-6-2025,dinsdag,15,nassauzaal
17-8-2025,zondag,15,extern
17-9-2024,dinsdag,8,heer ivo zaal
17-9-2024,dinsdag,7,prinsessezaal
17-10-2024,donderdag,26,nassauzaal
17-10-2024,donderdag,10,heer ivo zaal
17-10-2024,donderdag,10,heer ivo zaal
17-10-2025,vrijdag,22,hofdame
17-10-2025,vrijdag,30,nassauzaal
17-10-2025,vrijdag,16,opkamer
17-12-2024,dinsdag,10,heer ivo zaal
17-12-2024,dinsdag,20,nassauzaal
17-12-2024,dinsdag,600,extern
17-12-2024,dinsdag,4,prinsessezaal
17-12-2025,woensdag,50,nassauzaal
